data,emoji,label
坐过，现在是大爷，太婆买菜摆渡车,[嘻嘻],1
默哀，鞠躬，尊重逝者，尊重生命逝者安息,[蜡烛],1
我只想揪，怕咬一嘴毛,[笑cry],1
黑人买卖开始就有纳粹了,[黑线],0
清明对着已故烈士的骨灰陵墓纪念，却放任行凶者打死混着的军人的后代，这多么讽刺,[泪],0
直接说是老逼登以及他的狗腿子们呗,[允悲],0
请以后报道能否明白？？？省外直接说哪个省不行吗？难道没调查出来？,[汗],0
小编辛苦了！🥭会有的，榴莲也会有的！,[笑哈哈],1
#全国多地驰援上海#//@宝狮龙观天下:#全国多地驰援上海#,"[作揖],[心]",1
我们的航母在蔚海蓝与中国红里格外漂亮,[心],1
这不是女拳不女拳的问题吧 女性有自由的选择权 想生孩子就生不想生就不生 想结婚或不想结婚都是女性的选择 怎么到你这就非常符合美利坚了怎么就老龄少子了,[汗],0
今天是不是发狗粮了？,[泪],0
破案了，这个喽啰的祖上是乡殴宁，和上海没关系捏,[太开心],1
:【华服伴美景，天涯共此时】#中国华服日#，海外各地的华服爱好者们纷纷着华服，携友行，共同领略无限的风光。一起感受华服的魅力吧！,[心],1
中国电视电影已经完了，还在这里纠结这些,[笑cry],0
我闺女在这10万人里,[太开心],1
你就不会不给钱买？啥都赖别人，把卡片禁了他还会买别的东西，都是别人的问题自己没毛病,[吃瓜],0
还是怪隔离房间的楼层问题，不高不低，误导人家了，应该十层以上就不会逃了,[打call],1
夏虫不可语冰，这句话都被你们说烂了，讲不出个所以然来就来一句，强行挽尊,[哈哈],0
想知道什么时候去的万达,[泪],0
很早之前就从上海流向其他省份了也不见上海有什么措施，反倒是其他省份疯狂防疫,[允悲],0
朱总司令的老乡，我们仪陇的好儿女,[赞],1
美国就是最大的恐怖组织,[挖鼻],0
致敬先烈！勿忘历史。血肉之躯，钢铁意志，🇨🇳向英雄致敬！,[微风],1
不存在的，反正我加班,[允悲],0
什么他们居然在搞文字狱,[微笑],0
我苹果se从16年用到今年，要不是64g内存实在是不够了，说不定还能继续用下去,[允悲],0
这不得艾特之前那群女拳一波？,[吃瓜],0
政府为什么要救资本家？你的言论妥妥的资本主义思想,"[吐],[汗]",0
全是特摄，特摄懂不懂啊,[doge],0
好主意,"[笑cry],[赞]",1
任性是因为有牵挂，你加油都没人理你,[doge],0
支持民主国家收拾大流氓,[坏笑],1
说句题外话，这么多人读书的时候没有围观过别人打架么，我初中的时候还看过班上同学与外校的约架，双方各带了人，然后石头剪刀布决定怎么打群殴还是单挑最后决定1v1，所以我后来对这种事一点兴趣都没有了，觉得真的幼稚啊,[允悲],0
北京人民，只要全国没有北京的外溢病例，你们根本不用慌，一点事都没有。上海是从一月开始就不断往周边外溢了，三月才被重视起来，结果爆了。北京不会的，别啥了，占地方,[doge],1
首先，不能证实购买渠道。其次，不能证实开包后是否放了很久。最后，阿宽的生产线能跑老鼠？？开玩笑吧。人家是什么级别生产线搞搞清楚好不啦！有人怕是看不的人家做大做好哦！,[允悲],0
美好愿望不能当成事实依据，病毒三个年头了还没根治。而且难以防范，一波一波任何一地区被突防都引起全国各地封闭。动态清零的成本越来越高，国家和个人难以承受逐改变策略吧，重点在疫苗进化和特效药生产上！科学是对抗疫情最终武器！,[允悲],1
先挖一挖这几个人爱不爱国再说,[怒],0
团团，我是真的不想做核酸，我会很难受，忍不住想yue，各位有什么办法吗。,[泪],0
回痿蛆求拳,[悲伤],0
要开心哟:,[作揖],1
最大的针对性对手不就是中方，他咋可能保护,[汗],0
有上海旅居史可不可以到达成都后 集中隔离呀,[悲伤],0
新冠免疫个球啊，打完疫苗被感染的人一大波,[汗],0
家人们问一下从成都座高铁去其他地方进站需要核酸证明么？救救孩子，上次就没能进站,[允悲],0
一直在我们心里不会离去致敬！,[心],1
还有你看了里面写的吗？熄灯了好吧，除非当事人邀请/熟悉的，其他哪来的别的学生,[费解],0
