微博表情,emoji 表情,表情定义,网址,是否不同
[蜡烛],蜡烛,常用来表示祈祷、祷告、纪念。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%95%AF%EF%B8%8F,
[喵喵],奸笑的猫,可以用于使坏和调皮或者轻松有趣的场景，但是使坏的意思更加隐秘。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%98%BC,
[抓狂],累,它一般用来表示疲惫、焦虑、厌烦甚至崩溃的情绪。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%98%AB,
[偷笑],不说,在网络上，人们一般用来表达窃喜、偷笑、羞涩的笑或者开心的情绪。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%A4%AD,
[怒],怒火中烧,表示生气、憎恨、严肃，但程度比要高，当你感到有被冒犯到的时候甚至可以用它表示警告和命令。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%98%A1,
[坏笑],龇牙咧嘴,它表达出强颜欢笑或者紧张的情绪。在网络上，也会用来表示向他人请求帮助时不好意思的情绪，或者等同于“嘻嘻嘻”的感觉。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%98%AC,
[感冒],感冒,经常用于表示本人感到身体不适或者提醒注意传染病，也可用来指代医疗卫生工作者。在Covid-19新冠疫情时期，它常用来表示提醒戴口罩、警示戴口罩的重要性。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%98%B7,
[怒骂],嘴上有符号的脸,表示生气、憎恨、严肃,https://www.emojiall.com/zh-hans/emoji/%F0%9F%A4%AC,
[话筒],录音室麦克风,一般表示话筒、麦克风，还可以表示演讲、演唱会、歌手、广播、音乐的意思,https://www.emojiall.com/zh-hans/emoji/%F0%9F%8E%99,
[赞],拇指向上,通常用来表示赞同或赞许的意思，也常表示很棒、厉害、干得漂亮。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%91%8D%EF%B8%8E,
[加油],肌肉,通常代表身体的强壮或是强大的力量，也用于鼓励某人完成某些困难或者当你做得很好或者赢得了某些东西时。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%92%AA,
[吃瓜],西瓜,瓜“常用来表示”某个热点八卦事件“，“吃瓜”这一说法据说是源于在火车/戏院等场所中“前排出售瓜子，前排吃瓜子，前排吃瓜”的吆喝演变而来，“瓜子”后转变为了西瓜。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%8D%89,
[弱],拇指向下,通常用来表达踩、反对、不行或者下降的意思，也可以用来鄙视、侮辱、挑衅对方。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%91%8E,
[微笑],呵呵,它看起来只是轻微的微笑，由于笑容太浅，让人感觉还有点不安。有时表达成简单的认同对方或表示友好；但有时候也被用于消极和不安或讽刺的情景中。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%99%82,
[嘻嘻],嘻嘻,笑脸表情表达快乐、幸福，有是也用来表示同意或满意。当你想表现出温暖、舒适的幸福时，那么它就是你的最佳选择。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%98%81,
[拳头],举起拳头,通常用来表示力量、权力、信仰、发誓或行动的意思，据统计，它出现在抗议的话题中的频次非常高，可见人们常它用来表示抗议、发起和号召的意思。,https://www.emojiall.com/zh-hans/emoji/%E2%9C%8A,
[太阳],微笑的太阳,通常用来指太阳，也可以代表晴天、高温、正能量、好心情。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%8C%9E,
[失望],沉思,能传播各种悲伤的情绪，包括失望、受伤、抱歉、忧伤、担忧或者孤独。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%98%94,
[爱你],飞吻,一般以亲切的方式来表达晚安和再见；或者是亲亲、亲吻；也可能带有调情的意味。表达的爱意更加浓烈。它不仅可以用在恋人身上，也可以用在对亲戚朋友和宠物身上。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%98%98,
[伤心],心碎,一般表示用来伤心、心碎，还可以表示失恋、相思病、感情破裂、离婚的意思。这个emoji代表着难过的情绪,https://www.emojiall.com/zh-hans/emoji/%F0%9F%92%94,
[笑哈哈],哈哈,它意味着幸福、兴奋、积极、善意或同意。我们可以用它来表达对对方想法的支持，并做出积极的反应，但它更主要用于表达快乐。这个表情符号可以很好的表达出对对方的热情，也可以用于幽默场合。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%98%84,
[吃惊],震惊,通常用来表达震惊或惊讶，也带有关心、佩服或兴奋的意思。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%98%B2,
[鲜花],玫瑰,一般指代玫瑰花或者月季这种花卉，更多用来表示爱情、追求、浪漫，有时候也会指代女性。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%8C%B9,
[泪],放声大哭,表达了极度的悲伤和难过，也可以表达相反的意思，比如喜极而泣。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%98%AD,
