emoji,definition
♡,"This Unicode character is a heart suit, shown in an outlined style."
😴,"A yellow face with eyes closed and mouth letting out three, cartoon-styled Zzz’s overhead to indicate it's sound asleep. May also represent boredom (slang, snooze)."
😕,"A yellow face with open eyes and a skewed frown, as if scrunching its cheeks or chewing its lips. A look of feeling unsure. While it can convey confusion or hesitation, it is also commonly used for slight sadness, disappointment, and frustration."
😔,"A pensive, remorseful face. Saddened by life. Quietly considering where things all went wrong. Depicted as a yellow face with sad, closed eyes, furrowed eyebrows, and a slight, flat mouth. May convey a variety of sad emotions, including feeling disappointed, hurt, or lonely."
😅,"Intended to depict nerves or discomfort but commonly used to express a close call, as if saying Whew! and wiping sweat from the forehead. "
😣,"A yellow face with a slight frown, furrowed eyebrows, and scrunched eyes, as if holding back tears or exerting great effort. May convey various degrees and tones of frustration, sadness, helplessness, and struggle."
♥,"A heart symbol emoji, used in card games for the hearts suit. In emoji form, this is most commonly used for love, affectiction, romance and positive intentions."
❤,"A classic red love heart emoji, used for expressions of love and romance."
💯,"Originating from the number 100 written on a school exam or paper to indicate a perfect score of 100 out of 100.  Teachers in Japan may also use a stamp in addition to the 100 mark, to indicate that a student has performed very well. This 100 emoji is commonly used as a shorthand for 100%, with the usage meaning “keep it real” or a similar sentiment. A 100 emoji can be used to express pride or general acceptance of an idea."
✨,"Commonly used to indicate various positive sentiments, including love, happiness, beauty, gratitude, and excitement, as well as newness or cleanliness."
💪,"An arm flexing to show its biceps muscle. Represents strength, or working out."
🎶,"Three eighth notes, used to represent music or singing."
💔,This emoji represents the aching one feels when they are missing the person they love.
😷,"A yellow face wearing a white surgical mask, as used by health workers in hospitals as well as the general public during a pandemic. May be worn to avoid sickness or spreading airborne diseases."
😋,Widely used to convey that a food item is delicious. May also express that a person is attractive.
😒,"May convey a variety of negative emotions, including irritation, displeasure, grumpiness, and skepticism, as if giving the side-eye."
😂,Widely used to show something is funny or pleasing. 
✌,"Most commonly known as a Peace Sign, but traditionally called as a Victory Hand."
🔫,"A squirt gun (water pistol), as used to spray water for fun."
🙊,"Often used as a playful way to convey I can’t believe what I just said!, express a mischievous Oops!, or communicate a secret-keeping I won’t say a word."
👀,Sometimes used to indicate ‘pervy eyes’ to indicate approval of an attractive photo posted online; or ‘shifty eyes’ to convey a deceitful act.
💖,"A pink love heart with stars around it, making it look like it is sparkling or shimmering."
😳,"Intended to depict such feelings as embarrassment, but meaning very widely varies. Other senses include flattery, surprise, disbelief, admiration, affection, and excitement."
😡,"A red face with an angry expression: frowning mouth with eyes and eyebrows scrunched downward. Bears the same expression as Angry Face on most platforms and may convey more intense degrees of anger, e.g., hate or rage."
😠,"Conveys varying degrees of anger, from grumpiness and irritation to disgust and outrage. May also represent someone acting tough or being mean."
💜,"A purple heart emoji, often used alongside other colored hearts."
👌,"A gesture showing the index finger and thumb touching to make an open circle. Represents “I’m okay” or “yes, that’s correct / good”."
😪,"Snot bubbles indicate a character is tired or sleeping in anime or manga. While sometimes used to convey sadness, dissastification, or illness."
👍,A thumbs-up gesture indicating approval.
